56.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
05:52:02.0 (737629)|USER_INFO|[EXTERNAL]|0053d000000nVyL|mule.admin@osi.ca.gov.v1sit|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
05:52:02.0 (794122)|EXECUTION_STARTED
05:52:02.0 (810489)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
05:52:02.0 (853863)|CODE_UNIT_STARTED|[EXTERNAL]|01q3S000000APGE|CARES_TriggerTableTrigger on Trigger_Table trigger event BeforeUpdate|__sfdc_trigger/CARES_TriggerTableTrigger
05:52:02.0 (909521)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
05:52:02.0 (1835180)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
05:52:02.0 (2501352)|HEAP_ALLOCATE|[79]|Bytes:3
05:52:02.0 (2546688)|HEAP_ALLOCATE|[84]|Bytes:152
05:52:02.0 (2574740)|HEAP_ALLOCATE|[399]|Bytes:408
05:52:02.0 (2601496)|HEAP_ALLOCATE|[412]|Bytes:408
05:52:02.0 (2644191)|HEAP_ALLOCATE|[520]|Bytes:48
05:52:02.0 (2677201)|HEAP_ALLOCATE|[139]|Bytes:6
05:52:02.0 (2693891)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:52:02.0 (2718786)|VARIABLE_SCOPE_BEGIN|[11]|this|CARES_TriggerTableTrigger|true|false
05:52:02.0 (2834496)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x489399b5
05:52:02.0 (2894276)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:52:02.0 (2908182)|VARIABLE_SCOPE_BEGIN|[11]|this|CARES_TriggerTableTrigger|true|false
05:52:02.0 (2929724)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x489399b5
05:52:02.0 (2938101)|STATEMENT_EXECUTE|[11]
05:52:02.0 (4139251)|VARIABLE_SCOPE_BEGIN|[1793]|CARES_AppConstants.ABSENCE|String|false|true
05:52:02.0 (4156504)|VARIABLE_SCOPE_BEGIN|[1349]|CARES_AppConstants.ACCEPTED_STATUS|String|false|true
05:52:02.0 (4165842)|VARIABLE_SCOPE_BEGIN|[1051]|CARES_AppConstants.ACCESSLEVEL|String|false|true
05:52:02.0 (4178360)|VARIABLE_SCOPE_BEGIN|[1065]|CARES_AppConstants.ACCESS_LEVEL|String|false|true
05:52:02.0 (4186146)|VARIABLE_SCOPE_BEGIN|[498]|CARES_AppConstants.ACCESS_LEVEL_EDIT|String|false|true
