61.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;NBA,INFO;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
00:39:12.0 (563265)|USER_INFO|[EXTERNAL]|0053S000001Z2DY|cmworker240_contracosta_v1sit@osi.ca.gov.v1sit|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
00:39:12.0 (47774058)|STATEMENT_EXECUTE|[15]
00:39:12.0 (47849583)|STATEMENT_EXECUTE|[15]
00:39:12.0 (48327863)|STATEMENT_EXECUTE|[15]
00:39:12.0 (48333788)|HEAP_ALLOCATE|[51]|Bytes:4
00:39:12.0 (48607862)|STATEMENT_EXECUTE|[15]
00:39:12.0 (48611657)|HEAP_ALLOCATE|[51]|Bytes:4
00:39:12.0 (48678743)|VARIABLE_SCOPE_BEGIN|[30]|this|CARES_PlacementSearchController|true|false
00:39:12.0 (48750297)|VARIABLE_ASSIGNMENT|[30]|this|{}|0x3125d7f9
00:39:12.0 (48756090)|VARIABLE_SCOPE_BEGIN|[30]|action|String|false|false
00:39:12.0 (48766058)|VARIABLE_ASSIGNMENT|[30]|action|"placementSearch"
00:39:12.0 (48769417)|VARIABLE_SCOPE_BEGIN|[30]|args|Map<String,ANY>|true|false
00:39:12.0 (48790298)|VARIABLE_ASSIGNMENT|[30]|args|{"input":"Map of size 20 too large to display","output":{"error":"OK"},"options":"Map of size 7 too large to display"}|0xc4a4f1c
00:39:12.0 (48796346)|STATEMENT_EXECUTE|[30]
00:39:12.0 (48797411)|STATEMENT_EXECUTE|[31]
00:39:12.0 (48805618)|SYSTEM_METHOD_ENTRY|[31]|Map<String,ANY>.get(Object)
00:39:12.0 (48825385)|SYSTEM_METHOD_EXIT|[31]|Map<String,ANY>.get(Object)
00:39:12.0 (48830152)|VARIABLE_SCOPE_BEGIN|[31]|input|Map<String,ANY>|true|false
00:39:12.0 (48837886)|VARIABLE_ASSIGNMENT|[31]|input|"Map of size 20 too large to display"|0x6a09ebdf
00:39:12.0 (48841698)|STATEMENT_EXECUTE|[32]
00:39:12.0 (48845890)|SYSTEM_METHOD_ENTRY|[32]|Map<String,ANY>.get(Object)
00:39:12.0 (48856035)|SYSTEM_METHOD_EXIT|[32]|Map<String,ANY>.get(Object)
00:39:12.0 (48858899)|VARIABLE_SCOPE_BEGIN|[32]|output|Map<String,ANY>|true|false
00:39:12.0 (48867357)|VARIABLE_ASSIGNMENT|[32]|output|{"error":"OK"}|0xc7dfaf5
00:39:12.0 (48870804)|STATEMENT_EXECUTE|[33]
00:39:12.0 (48874786)|SYSTEM_METHOD_ENTRY|[33]|Map<String,ANY>.get(Object)
00:39:12.0 (48884222)|SYSTEM_METHOD_EXIT|[33]|Map<String,ANY>.get(Object)
00:39:12.0 (48886996)|VARIABLE_SCOPE_BEGIN|[33]|options|Map<String,ANY>|true|false
00:39:12.0 (48893469)|VARIABLE_ASSIGNMENT|[33]|options|"Map of size 7 too large to display"|0x4cc5ef71
00:39:12.0 (48896981)|STATEMENT_EXECUTE|[34]
00:39:12.0 (48899285)|VARIABLE_SCOPE_BEGIN|[34]|flag|Boolean|false|false
00:39:12.0 (48905602)|HEAP_ALLOCATE|[34]|Bytes:5
00:39:12.0 (48910916)|VARIABLE_ASSIGNMENT|[34]|flag|false
00:39:12.0 (51462511)|VARIABLE_SCOPE_BEGIN|[1793]|CARES_AppConstants.ABSENCE|String|false|true
00:39:12.0 (51476642)|VARIABLE_SCOPE_BEGIN|[1349]|CARES_AppConstants.ACCEPTED_STATUS|String|false|true
00:39:12.0 (51483036)|VARIABLE_SCOPE_BEGIN|[1051]|CARES_AppConstants.ACCESSLEVEL|String|false|true
00:39:12.0 (51488305)|VARIABLE_SCOPE_BEGIN|[1065]|CARES_AppConstants.ACCESS_LEVEL|String|false|true
00:39:12.0 (51493645)|VARIABLE_SCOPE_BEGIN|[498]|CARES_AppConstants.ACCESS_LEVEL_EDIT|String|false|true
00:39:12.0 (51499186)|VARIABLE_SCOPE_BEGIN|[482]|CARES_AppConstants.ACCOUNT|String|false|true
00:39:12.0 (51504468)|VARIABLE_SCOPE_BEGIN|[751]|CARES_AppConstants.ACCOUNT_SUCCESS|String|false|true
00:39:12.0 (51509741)|VARIABLE_SCOPE_BEGIN|[1689]|CARES_AppConstants.ACCREDITATION|String|false|true
00:39:12.0 (51515351)|VARIABLE_SCOPE_BEGIN|[483]|CARES_AppConstants.ACRELATION|String|false|true
00:39:12.0 (51521118)|VARIABLE_SCOPE_BEGIN|[2089]|CARES_AppConstants.ACTION_PLAN_OBJECT|String|false|true
00:39:12.0 (51526890)|VARIABLE_SCOPE_BEGIN|[2090]|CARES_AppConstants.ACTION_PLAN_SERVICE_CLASS|String|false|true
00:39:12.0 (51532368)|VARIABLE_SCOPE_BEGIN|[575]|CARES_AppConstants.ACTION_SUCCESS|String|false|true
00:39:12.0 (51538233)|VARIABLE_SCOPE_BEGIN|[2082]|CARES_AppConstants.ACTIVE_APPROVED|String|false|true
00:39:12.0 (51543731)|VARIABLE_SCOPE_BEGIN|[2340]|CARES_AppConstants.ACTIVE_OFFICE_MEMBERS_ERROR|String|false|true
00:39:12.0 (51549145)|VARIABLE_SCOPE_BEGIN|[2083]|CARES_AppConstants.ACTIVE_PENDING|String|false|true
00:39:12.0 (51554884)|VARIABLE_SCOPE_BEGIN|[2084]|CARES_AppConstants.ACTIVE_SERVED|String|false|true
00:39:12.0 (51560666)|VARIABLE_SCOPE_BEGIN|[2338]|CARES_AppConstants.ACTIVE_UNIT_AND_OFFICE_MEMBERS_ERROR|String|false|true
00:39:12.0 (51566327)|VARIABLE_SCOPE_BEGIN|[2339]|CARES_AppConstants.ACTIVE_UNIT_ERROR|String|false|true
00:39:12.0 (51573756)|VARIABLE_SCOPE_BEGIN|[303]|CARES_AppConstants.ADDENDUM_OBJECT_API_NAME|String|false|true
00:39:12.0 (51579902)|VARIABLE_SCOPE_BEGIN|[1342]|CARES_AppConstants.ADDITIONAL_INFORMATION|String|false|true
00:39:12.0 (51587764)|VARIABLE_SCOPE_BEGIN|[1196]|CARES_AppConstants.ADDRESSS|String|false|true
00:39:12.0 (51593995)|VARIABLE_SCOPE_BEGIN|[1552]|CARES_AppConstants.ADDRESS_1|String|false|true
00:39:12.0 (51600071)|VARIABLE_SCOPE_BEGIN|[1553]|CARES_AppConstants.ADDRESS_2|String|false|true
00:39:12.0 (51606353)|VARIABLE_SCOPE_BEGIN|[605]|CARES_AppConstants.ADDRESS_LINE_1|String|false|true
00:39:12.0 (51612479)|VARIABLE_SCOPE_BEGIN|[606]|CARES_AppConstants.ADDRESS_LINE_1_CHANGE|String|false|true
00:39:12.0 (51618941)|VARIABLE_SCOPE_BEGIN|[302]|CARES_AppConstants.ADDRESS_OBJECT_API_NAME|String|false|true
00:39:12.0 (51625129)|VARIABLE_SCOPE_BEGIN|[1789]|CARES_AppConstants.ADDRESS_SEARCH_TEST_VAR1|String|false|true
00:39:12.0 (51631264)|VARIABLE_SCOPE_BEGIN|[1790]|CARES_AppConstants.ADDRESS_SEARCH_TEST_VAR2|String|false|true
00:39:12.0 (51637811)|VARIABLE_SCOPE_BEGIN|[1496]|CARES_AppConstants.ADDRESS_TYPE_ERROR|String|false|true
00:39:12.0 (51644236)|VARIABLE_SCOPE_BEGIN|[1570]|CARES_AppConstants.ADDRESS_TYPE_PICKLIST_FIELD_VALUE_ADMINISTRATIVE|String|false|true
00:39:12.0 (51650346)|VARIABLE_SCOPE_BEGIN|[1558]|CARES_AppConstants.ADDR_SALESFORCE_ID|String|false|true
00:39:12.0 (51656162)|VARIABLE_SCOPE_BEGIN|[1556]|CARES_AppConstants.ADDR_TYPE|String|false|true
00:39:12.0 (51661743)|VARIABLE_SCOPE_BEGIN|[367]|CARES_AppConstants.ADD_CITY|String|false|true
00:39:12.0 (51667703)|VARIABLE_SCOPE_BEGIN|[838]|CARES_AppConstants.ADD_COUNTRY|String|false|true
